rank,tier,platform_id,name,company,website,categories,sector,country,deployment_footprint,source_type,abdm_certified,abdm_integrated_date,abdm_expiry,abdm_listings,security_audit_cert,govt_product_rating,score_market_importance,score_automation_potential,score_api_quality,score_ui_automation,score_fhir_readiness,score_security,score_integration_difficulty,score_maintenance_burden,score_strategic_importance,recommended_priority,confidence,last_verified,evidence,notes
70,P2,IN-core5-systems-and-services-private,Core5 Systems and Services Private Limited,Core5 Systems and Services Private Limited,https://core5.co.in,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-01-20,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
71,P2,IN-cottonsoil-healthcare-tech-pvt,Cottonsoil Healthcare Tech Pvt Ltd,Cottonsoil Healthcare Tech Pvt Ltd,https://www.cottonsoil.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-11-28,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
72,P2,IN-crane-global-solutions-limited-cgsl,Crane Global Solutions Limited (CGSL),Crane Global Solutions Limited (CGSL),http://www.cgslimited.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-12-31,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
73,P2,IN-criterion-tech-private,Criterion Tech Private Limited,Criterion Tech Private Limited,https://criteriontechnologies.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-18,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
74,P2,IN-curasync-technologies,Curasync Technologies LLP,Curasync Technologies LLP,https://hms4all.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-25,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
75,P2,IN-dalvkot-utility-enterprises-pvt,DALVKOT UTILITY ENTERPRISES PVT LTD,DALVKOT UTILITY ENTERPRISES PVT LTD,https://dalvkot.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-09-09,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
76,P2,IN-dcdc-health-services-pvt-lt,DCDC Health Services Pvt. Lt,DCDC Health Services Pvt. Lt,https://dcdc.co.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-03,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
77,P2,IN-devenv-tech-private,DEVENV TECH PRIVATE LIMITED,DEVENV TECH PRIVATE LIMITED,https://devenv.tech/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-19,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
78,P2,IN-driefcase-connect,DRiefcase Connect,DRiefcase Connect,https://www.driefcase.doctor/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-11-07,2025-05-16,1,True,,4.0,6.7,5,8,8,7,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
79,P2,IN-dataman-computer-systems-pvt,Dataman Computer Systems Pvt. Ltd.,Dataman Computer Systems Pvt. Ltd.,https://dataman.in/,HMIS|Health Locker|PHR App|Pharmacy,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-05-03,2025-04-30,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
80,P2,IN-datamate-info-solutions,Datamate Info Solutions Limited,Datamate Info Solutions Limited,www.datamateindia.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-07-02,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
81,P2,IN-datasoftline-pvt,Datasoftline Pvt. Ltd.,Datasoftline Pvt. Ltd.,http://www.datasoftline.com/ ,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-07-16,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
82,P2,IN-department-of-homoeopathy-govt-of-kerala,"Department of Homoeopathy, Govt of Kerala","Department of Homoeopathy, Govt of Kerala",https://homoeopathy.kerala.gov.in,HMIS,government,India,UNKNOWN,ABDM_REGISTRY,True,2025-08-20,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
83,P2,IN-destratum-solutions-private,Destratum Solutions Private Limited,Destratum Solutions Private Limited,https://www.healthattai.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-04-24,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
84,P2,IN-digicare-healthcare-solutions-private,Digicare Healthcare Solutions Private Limited,Digicare Healthcare Solutions Private Limited,https://www.tatvacare.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-12-12,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
85,P2,IN-docon-technologies-pvt,DocOn Technologies Pvt Ltd,DocOn Technologies Pvt Ltd,https://docon.co.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2021-11-29,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
86,P2,IN-docplix-solutions-pvt,Docplix Solutions Pvt Ltd,Docplix Solutions Pvt Ltd,https://www.docplix.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-06-30,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
87,P2,IN-docterz-health-tech-labs-pvt,Docterz Health-Tech Labs Pvt Ltd.,Docterz Health-Tech Labs Pvt Ltd.,https://www.docterz.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-08-02,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
88,P2,IN-dreamsoft4u-private,DreamSoft4u Private Limited,DreamSoft4u Private Limited,https://www.dreamsoft4u.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-12,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
89,P2,IN-egerp-informatics-pvt,EGERP INFORMATICS PVT LTD,EGERP INFORMATICS PVT LTD,https://www.egerp.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-19,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
90,P2,IN-enlacecode-technology-pvt,ENLACECODE TECHNOLOGY PVT LTD,ENLACECODE TECHNOLOGY PVT LTD,https://swasthyasetu.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-07-14,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
91,P2,IN-eva-soft-private,EVA SOFT PRIVATE LIMITED,EVA SOFT PRIVATE LIMITED,https://evahims.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-06-03,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
92,P2,IN-easy-solution-infosystems-private,Easy Solution Infosystems Private Limited,Easy Solution Infosystems Private Limited,https://easysolution.in/ ,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-09,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
93,P2,IN-entro-labs-it-solutions-pvt,Entro Labs IT Solutions Pvt. Ltd.,Entro Labs IT Solutions Pvt. Ltd.,https://entrolabs.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-12-22,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
94,P2,IN-equeue-technosolutions-private,Equeue Technosolutions Private Limited,Equeue Technosolutions Private Limited,https://www.equeue.health/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-09-16,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
95,P2,IN-equilym-technologies-private,Equilym Technologies Private Limited,Equilym Technologies Private Limited,https://equilym.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-10-07,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
96,P2,IN-existence-software-solution-pvt,Existence Software Solution Pvt Ltd,Existence Software Solution Pvt Ltd,https://www.praczin.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-07-14,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
97,P2,IN-expedien-esolutions,Expedien eSolutions,Expedien eSolutions,https://expediensolutions.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-03-26,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
98,P2,IN-fortis-healthcare,Fortis Healthcare,Fortis Healthcare,Https://www.fortishealthcare.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-12-15,2024-12-31,1,True,,4.0,6.7,5,8,8,7,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
99,P2,IN-forus-health-pvt,Forus Health Pvt. Ltd.,Forus Health Pvt. Ltd.,https://forushealth.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-12-23,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
100,P2,IN-founding-minds-pvt,Founding Minds Pvt. Ltd,Founding Minds Pvt. Ltd,https://beta.e-healthpro.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-09-25,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
101,P2,IN-framework-futuristic-pvt,Framework Futuristic Pvt. Ltd.,Framework Futuristic Pvt. Ltd.,www.framework-futuristic.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-03,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
102,P2,IN-gj-global-it-ventures-pvt,GJ Global IT Ventures Pvt Ltd,GJ Global IT Ventures Pvt Ltd,https://www.gjglobalsoft.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-04,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
103,P2,IN-godhani-infotech,GODHANI INFOTECH,GODHANI INFOTECH,https://www.godhaniinfotech.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-12,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
104,P2,IN-grapes-innovative,Grapes Innovative Solutions.,Grapes Innovative Solutions.,https://www.grapeshms.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-12-01,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
105,P2,IN-gravity-web-technologies-pvt,Gravity Web Technologies Pvt. Ltd.,Gravity Web Technologies Pvt. Ltd.,https://gravitywebtechnologies.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-09,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
106,P2,IN-hanuram-healthtech-private,HANURAM HEALTHTECH PRIVATE LIMITED,HANURAM HEALTHTECH PRIVATE LIMITED,https://o-health.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-06,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
107,P2,IN-healthcare-global-enterprises,HEALTHCARE GLOBAL ENTERPRISES LIMITED,HEALTHCARE GLOBAL ENTERPRISES LIMITED,https://www.hcgoncology.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-04-29,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
108,P2,IN-helyxon-healthcare-solutions-private,HELYXON HEALTHCARE SOLUTIONS PRIVATE LIMITED,HELYXON HEALTHCARE SOLUTIONS PRIVATE LIMITED,https://helyxon.com,HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-10-28,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
109,P2,IN-hisp-emr,HISP-EMR,HISP-EMR,https://hispindia.org/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-07-27,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
110,P2,IN-hll-lifecare-limited-a-government-of-india-enterprise,HLL Lifecare Limited (A Government of India Enterprise),HLL Lifecare Limited (A Government of India Enterprise),https://mahadialysis.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-12-11,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
111,P2,IN-hll-lifecare,HLL Lifecare Ltd,HLL Lifecare Ltd,http://www.hindlabs.in/hindlab,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-12-10,2024-12-31,2,True,,4.0,6.7,5,8,8,7,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
112,P2,IN-hlthtek-optimus-private,HLTHTek Optimus Private Limited,HLTHTek Optimus Private Limited,https://www.hlthtek.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-02-19,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
113,P2,IN-holofx-consulting-private,HOLOFX CONSULTING PRIVATE LIMITED,HOLOFX CONSULTING PRIVATE LIMITED,www.holofx.io,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-12-31,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
114,P2,IN-hamsa-soham-health-care-pvt,Hamsa Soham Health Care Pvt. Ltd.,Hamsa Soham Health Care Pvt. Ltd.,https://hamsasoham.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-24,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
115,P2,IN-healtether-healthcare-services-private,HealTether Healthcare Services Private Limited,HealTether Healthcare Services Private Limited,https://healtether.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-09-01,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
116,P2,IN-health-family-welfare-department-government-of-tripura,"Health & Family Welfare Department, Government of Tripura","Health & Family Welfare Department, Government of Tripura",https://ihmistripura.in,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-17,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
117,P2,IN-health-smarttech-private,Health Smarttech Private Limited,Health Smarttech Private Limited,https://healthsmarttech.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-07-11,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
118,P2,IN-healthixio,Healthixio,Healthixio,https://healthixio.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-07-06,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
119,P2,IN-healthvalors-technosoft-private,Healthvalors Technosoft Private Limited,Healthvalors Technosoft Private Limited,http://www.healthvalors.com/,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-07-15,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
120,P2,IN-hunnarvi-technologies-private,Hunnarvi Technologies Private Limited,Hunnarvi Technologies Private Limited,https://www.hunnarvi.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-07-17,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
121,P2,IN-i-medicus-india-private,I-MEDICUS INDIA PRIVATE LIMITED,I-MEDICUS INDIA PRIVATE LIMITED,https://i-medicus.in,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-08,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
122,P2,IN-ihx-health-repository-provider,IHX Health Repository Provider,IHX Health Repository Provider,https://www.ihx.in,HMIS,microsites,India,UNKNOWN,ABDM_REGISTRY,True,2022-06-27,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
123,P2,IN-infuture-com,INFUTURE.COM,INFUTURE.COM,https://hms-easy.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-05-19,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
124,P2,IN-iplit-solutions,IPLit Solutions LLP,IPLit Solutions LLP,https://iplit.in,HMIS|Health Tech,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-07-11,2024-04-30,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
125,P2,IN-iq-line-private,IQ-Line Private Limited,IQ-Line Private Limited, https://iqline.co.in/ ,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-10-28,,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
126,P2,IN-iqvia,IQVIA,IQVIA,https://www.iqvia.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-11-17,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
127,P2,IN-ishaa-infinity-software-technologies,ISHAA INFINITY SOFTWARE TECHNOLOGIES LLP,ISHAA INFINITY SOFTWARE TECHNOLOGIES LLP,https://www.ishaainfinity.com,Connectors|HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-03-30,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
128,P2,IN-itdose-infosystems-pvt,ITDOSE INFOSYSTEMS Pvt. Ltd.,ITDOSE INFOSYSTEMS Pvt. Ltd.,https://www.itdoseinfo.com/,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-11-02,2024-09-30,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
129,P2,IN-itsc-technologies-pvt,ITSC Technologies Pvt. Ltd.,ITSC Technologies Pvt. Ltd.,http://itscglobal.com,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-07-05,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
130,P2,IN-integrated-health-management-system,Integrated Health Management System,Integrated Health Management System,Integrated Health Management System,HMIS,government,India,UNKNOWN,ABDM_REGISTRY,True,2022-09-02,,2,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
131,P2,IN-jpr-systems-pvt,JPR SYSTEMS PVT LTD,JPR SYSTEMS PVT LTD,www.jprsystems.in,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-17,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
132,P2,IN-jupiter-lifeline-hospitals,JUPITER LIFELINE HOSPITALS LIMITED,JUPITER LIFELINE HOSPITALS LIMITED,https://www.jupiterhospital.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-02-06,2025-01-31,1,True,,4.0,6.7,5,8,8,7,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
133,P2,IN-jdeanz-healthtech-pvt,Jdeanz Healthtech Pvt. Ltd.,Jdeanz Healthtech Pvt. Ltd.,https://www.aarogya.one,HMIS|Health Locker|NHCX|PHR App,private,India,UNKNOWN,ABDM_REGISTRY,True,2024-07-10,,3,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
134,P2,IN-kranium-healthcare-systems-pvt,KRANIUM HEALTHCARE SYSTEMS PVT LTD,KRANIUM HEALTHCARE SYSTEMS PVT LTD,https://www.kraniumhealth.com,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-11-26,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
135,P2,IN-karkinos-application-suite,Karkinos Application Suite,Karkinos Application Suite,https://karkinos.in/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2022-05-12,2025-03-16,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
136,P2,IN-karnavati-software-technologies-pvt,Karnavati Software Technologies Pvt. Ltd.,Karnavati Software Technologies Pvt. Ltd.,https://kstpl.in,HMIS|LMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2025-05-07,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
137,P2,IN-kulcare-india-private,Kulcare India Private Limited,Kulcare India Private Limited,https://kulcare.com ,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2023-05-10,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
138,P2,IN-kyrocare-healthtech-private,Kyrocare Healthtech Private Limited,Kyrocare Healthtech Private Limited,https://kyro.care,Connectors|HMIS|NHCX,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-02-02,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
139,P2,IN-lsg-associate,LSG Associate,LSG Associate,https://plusonehms.com/,HMIS,private,India,UNKNOWN,ABDM_REGISTRY,True,2026-06-18,,1,False,,4.0,6.7,5,8,8,5,4.8,3.4,4.2,4.2,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
